k,features,sil score,CH score
13,AU01_r_AU14_r,0.448202854884,1397376.59901
14,AU01_r_AU14_r,0.453430188206,1407249.21592
15,AU01_r_AU14_r,0.44500149572,1422596.96088
2,AU01_r_AU15_r,0.682977253351,1193654.33049
3,AU01_r_AU15_r,0.643000349445,1116420.20385
4,AU01_r_AU15_r,0.611336438008,1304887.56934
5,AU01_r_AU15_r,0.590463942826,1309364.74767
6,AU01_r_AU15_r,0.585670003353,1398019.10931
7,AU01_r_AU15_r,0.564347604013,1390310.47247
8,AU01_r_AU15_r,0.570061621594,1428761.04973
9,AU01_r_AU15_r,0.575961720444,1448803.73736
10,AU01_r_AU15_r,0.56332783472,1469937.10027
11,AU01_r_AU15_r,0.559987851042,1490476.67128
12,AU01_r_AU15_r,0.569050720032,1529251.51407
13,AU01_r_AU15_r,0.560570628314,1557602.40943
14,AU01_r_AU15_r,0.551577753777,1560517.86303
15,AU01_r_AU15_r,0.558459256584,1580624.46632
2,AU01_r_AU17_r,0.468180662641,730055.135945
3,AU01_r_AU17_r,0.519118479354,1104661.06533
4,AU01_r_AU17_r,0.448247870187,1097959.74
5,AU01_r_AU17_r,0.471673676911,1156457.59062
6,AU01_r_AU17_r,0.437282236407,1135031.43262
7,AU01_r_AU17_r,0.449228128454,1152885.425
8,AU01_r_AU17_r,0.453447013639,1160285.62406
9,AU01_r_AU17_r,0.461382323784,1168474.2916
10,AU01_r_AU17_r,0.448844359574,1206182.9175
11,AU01_r_AU17_r,0.448183485042,1202394.95055
12,AU01_r_AU17_r,0.431346084925,1201578.16355
13,AU01_r_AU17_r,0.441304732255,1216480.14447
14,AU01_r_AU17_r,0.445441098029,1220169.41805
15,AU01_r_AU17_r,0.446435516367,1221605.04917
2,AU01_r_AU20_r,0.707387283502,1662499.31182
3,AU01_r_AU20_r,0.601188232506,1585139.89644
4,AU01_r_AU20_r,0.610144972411,1692529.69004
5,AU01_r_AU20_r,0.597968061703,1797747.19209
6,AU01_r_AU20_r,0.573269354769,1790771.66496
7,AU01_r_AU20_r,0.581192027575,1839171.97193
8,AU01_r_AU20_r,0.5711700181,1849301.72843
9,AU01_r_AU20_r,0.581413771864,1865431.1364
10,AU01_r_AU20_r,0.562756497129,1870902.88384
11,AU01_r_AU20_r,0.567611635223,1904543.18657
12,AU01_r_AU20_r,0.572433113801,1937000.05148
13,AU01_r_AU20_r,0.563002588161,1966766.49907
14,AU01_r_AU20_r,0.553375229449,1962320.29147
15,AU01_r_AU20_r,0.563794809042,1996587.96699
2,AU01_r_AU23_r,0.638539275163,987267.096519
3,AU01_r_AU23_r,0.600143821547,1192072.02043
4,AU01_r_AU23_r,0.577968460344,1321592.15797
5,AU01_r_AU23_r,0.559457932583,1347178.24912
6,AU01_r_AU23_r,0.555994025304,1395531.55024
7,AU01_r_AU23_r,0.540778558941,1376685.72224
8,AU01_r_AU23_r,0.53926368348,1404267.87125
9,AU01_r_AU23_r,0.550951090656,1436760.04792
10,AU01_r_AU23_r,0.552298653144,1455363.79658
11,AU01_r_AU23_r,0.543442131784,1483697.16216
12,AU01_r_AU23_r,0.543655246069,1534751.73548
13,AU01_r_AU23_r,0.548235231866,1539836.90935
14,AU01_r_AU23_r,0.540370369496,1572035.17003
15,AU01_r_AU23_r,0.539901634714,1604279.32055
2,AU01_r_AU25_r,0.528744525626,1234546.05225
3,AU01_r_AU25_r,0.55690075574,1317563.28431
4,AU01_r_AU25_r,0.500599761502,1416253.51363
5,AU01_r_AU25_r,0.495285094162,1379910.91321
6,AU01_r_AU25_r,0.474444034935,1408778.441
7,AU01_r_AU25_r,0.487563431719,1432560.76711
8,AU01_r_AU25_r,0.457421708879,1421915.74953
9,AU01_r_AU25_r,0.463798241809,1446517.65561
10,AU01_r_AU25_r,0.476171285947,1479251.47223
11,AU01_r_AU25_r,0.478785951239,1457838.41411
12,AU01_r_AU25_r,0.462763292912,1482821.59581
13,AU01_r_AU25_r,0.462891713529,1498610.85526
14,AU01_r_AU25_r,0.468823020203,1504690.50247
15,AU01_r_AU25_r,0.458494673495,1524010.14957
2,AU01_r_AU26_r,0.506894267714,703254.482995
3,AU01_r_AU26_r,0.533714150221,1152180.24655
4,AU01_r_AU26_r,0.508738331512,1093460.01754
5,AU01_r_AU26_r,0.495295470017,1195461.69225
6,AU01_r_AU26_r,0.502307798479,1141785.93089
7,AU01_r_AU26_r,0.469807849223,1148951.21487
8,AU01_r_AU26_r,0.482048550093,1191316.35373
9,AU01_r_AU26_r,0.486831085318,1194633.0802
10,AU01_r_AU26_r,0.471028134634,1201520.9482
11,AU01_r_AU26_r,0.47298535359,1223145.5234
12,AU01_r_AU26_r,0.478957795935,1218759.78081
13,AU01_r_AU26_r,0.466933391916,1226519.40501
14,AU01_r_AU26_r,0.46695077299,1235696.90155
15,AU01_r_AU26_r,0.471818419338,1244429.52731
2,AU01_r_AU45_r,0.632511760607,879684.681554
3,AU01_r_AU45_r,0.61191671644,1145972.31102
4,AU01_r_AU45_r,0.56035052121,1150330.29938
5,AU01_r_AU45_r,0.54939669319,1223699.36903
6,AU01_r_AU45_r,0.535448333197,1193575.27383
7,AU01_r_AU45_r,0.528409834819,1207043.2502
8,AU01_r_AU45_r,0.536561250323,1211216.3652
9,AU01_r_AU45_r,0.533654193127,1215764.15896
10,AU01_r_AU45_r,0.532262488083,1250365.97498
11,AU01_r_AU45_r,0.523225659527,1259381.24422
12,AU01_r_AU45_r,0.525829685536,1265036.19322
13,AU01_r_AU45_r,0.525669942942,1283594.01303
14,AU01_r_AU45_r,0.527754829647,1291558.75619
15,AU01_r_AU45_r,0.519095399671,1296832.401
2,AU02_r_AU05_r,0.794338703828,808297.134919
3,AU02_r_AU05_r,0.808991737607,1227575.43552
4,AU02_r_AU05_r,0.766514749747,1287624.77393
5,AU02_r_AU05_r,0.774640505344,1411455.08191
6,AU02_r_AU05_r,0.751750383424,1445759.7324
7,AU02_r_AU05_r,0.755314330715,1464071.96301
8,AU02_r_AU05_r,0.741931636962,1476079.1299
9,AU02_r_AU05_r,0.743725161602,1525042.94364
10,AU02_r_AU05_r,0.743737185538,1544619.60403
11,AU02_r_AU05_r,0.735743327369,1569501.16723
12,AU02_r_AU05_r,0.736865022651,1611477.20247
13,AU02_r_AU05_r,0.735373877692,1627266.22449
14,AU02_r_AU05_r,0.73218195262,1650673.17971
15,AU02_r_AU05_r,0.733543825036,1667478.44029
2,AU02_r_AU06_r,0.574674822611,1794758.27353
3,AU02_r_AU06_r,0.524665088086,1582380.22282
4,AU02_r_AU06_r,0.56103201505,1819641.13561
5,AU02_r_AU06_r,0.543382582759,1967236.42745
6,AU02_r_AU06_r,0.552688256399,1963107.26792
7,AU02_r_AU06_r,0.534811819477,2052818.38594
8,AU02_r_AU06_r,0.545400930496,2059407.99853
9,AU02_r_AU06_r,0.536938783443,2134685.84809
10,AU02_r_AU06_r,0.542760823865,2167091.88397
11,AU02_r_AU06_r,0.529751145449,2219767.42487
12,AU02_r_AU06_r,0.536999824704,2258453.10735
13,AU02_r_AU06_r,0.52957611365,2293835.4834
14,AU02_r_AU06_r,0.530849115935,2320106.79274
15,AU02_r_AU06_r,0.524718132995,2340417.65696
2,AU02_r_AU07_r,0.596417618898,2234112.75984
3,AU02_r_AU07_r,0.547773854236,2096554.05812
4,AU02_r_AU07_r,0.574874372557,2121740.84779
5,AU02_r_AU07_r,0.550596572434,2284834.44416
6,AU02_r_AU07_r,0.530188512171,2256599.81616
7,AU02_r_AU07_r,0.542113519506,2317589.68772
8,AU02_r_AU07_r,0.528947820176,2329179.14352
9,AU02_r_AU07_r,0.541854373032,2407772.28562
10,AU02_r_AU07_r,0.529300891599,2425648.9184
11,AU02_r_AU07_r,0.533718816366,2457902.67496
12,AU02_r_AU07_r,0.541082236932,2492132.22882
13,AU02_r_AU07_r,0.534032213282,2544959.27678
14,AU02_r_AU07_r,0.535115407207,2537655.85314
15,AU02_r_AU07_r,0.526627644722,2567029.18842
2,AU02_r_AU09_r,0.715276122047,709205.28625
3,AU02_r_AU09_r,0.703292469025,1209095.15996
4,AU02_r_AU09_r,0.675891148329,1234724.56834
5,AU02_r_AU09_r,0.653728105787,1518528.93842
6,AU02_r_AU09_r,0.652383530219,1555538.97912
7,AU02_r_AU09_r,0.638374163285,1710447.96931
8,AU02_r_AU09_r,0.641687802365,1742436.67679
9,AU02_r_AU09_r,0.626139350885,1804244.61952
10,AU02_r_AU09_r,0.628720770239,1824637.34243
11,AU02_r_AU09_r,0.631053052547,1884641.81445
12,AU02_r_AU09_r,0.62172828487,1953287.11074
13,AU02_r_AU09_r,0.621031523938,1990141.04006
14,AU02_r_AU09_r,0.611195526167,2038762.88885
15,AU02_r_AU09_r,0.618624534354,2101739.58501
2,AU02_r_AU10_r,0.547934351796,1853286.18329
3,AU02_r_AU10_r,0.512859876014,1730512.27199
4,AU02_r_AU10_r,0.542443480512,1829066.97663
5,AU02_r_AU10_r,0.521363240569,1946685.97751
6,AU02_r_AU10_r,0.503368842247,1924497.45768
7,AU02_r_AU10_r,0.516912293573,1972710.3604
8,AU02_r_AU10_r,0.529558654113,2006719.24
9,AU02_r_AU10_r,0.517851544897,2083444.09029
10,AU02_r_AU10_r,0.50353593425,2088776.81988
11,AU02_r_AU10_r,0.510126553686,2096652.86551
12,AU02_r_AU10_r,0.517090295345,2153472.85566
13,AU02_r_AU10_r,0.50931192329,2185101.3071
14,AU02_r_AU10_r,0.512231051759,2193342.16234
15,AU02_r_AU10_r,0.503683777714,2206935.03573
2,AU02_r_AU12_r,0.581340374667,1748998.98975
3,AU02_r_AU12_r,0.519536114217,1809524.35319
4,AU02_r_AU12_r,0.549422004059,1870785.7082
5,AU02_r_AU12_r,0.525190085618,2111648.68629
6,AU02_r_AU12_r,0.504412637718,2134265.4566
7,AU02_r_AU12_r,0.519277043078,2180917.64691
8,AU02_r_AU12_r,0.505597174824,2224169.94043
9,AU02_r_AU12_r,0.518893346787,2295977.42332
10,AU02_r_AU12_r,0.505615449416,2323778.66429
11,AU02_r_AU12_r,0.510396881305,2325138.24543
12,AU02_r_AU12_r,0.501482714843,2347530.71905
13,AU02_r_AU12_r,0.508492923361,2396726.31955
14,AU02_r_AU12_r,0.499383978316,2406396.45522
15,AU02_r_AU12_r,0.506105461612,2410067.99273
2,AU02_r_AU14_r,0.561068668112,1981074.78685
3,AU02_r_AU14_r,0.526618901193,1921304.59369
4,AU02_r_AU14_r,0.551554651243,1862242.81541
5,AU02_r_AU14_r,0.532100225511,2027509.29713
6,AU02_r_AU14_r,0.510109955289,2026937.5267
7,AU02_r_AU14_r,0.52372199126,2015695.09878
8,AU02_r_AU14_r,0.508408891781,2026561.74715
9,AU02_r_AU14_r,0.521808132344,2095293.89154
10,AU02_r_AU14_r,0.511666584025,2110049.44439
11,AU02_r_AU14_r,0.517497631483,2131471.99079
12,AU02_r_AU14_r,0.507485586656,2140638.94725
13,AU02_r_AU14_r,0.514052476015,2181799.57595
14,AU02_r_AU14_r,0.504419249526,2189684.53593
15,AU02_r_AU14_r,0.511591740597,2191884.65131
2,AU02_r_AU15_r,0.692257611569,697909.839827
3,AU02_r_AU15_r,0.724019913579,1052062.57259
4,AU02_r_AU15_r,0.671064712833,1157724.79242
5,AU02_r_AU15_r,0.684206051117,1280899.46272
6,AU02_r_AU15_r,0.657947112393,1378192.55961
7,AU02_r_AU15_r,0.663232978179,1416363.78939
8,AU02_r_AU15_r,0.64917285996,1489915.34516
9,AU02_r_AU15_r,0.648967792646,1495289.02061
10,AU02_r_AU15_r,0.63666609653,1542510.82975
11,AU02_r_AU15_r,0.640130722711,1594306.23931
12,AU02_r_AU15_r,0.626195891945,1609432.92574
13,AU02_r_AU15_r,0.630793004364,1653036.93344
14,AU02_r_AU15_r,0.635505853675,1691022.11857
15,AU02_r_AU15_r,0.627558672407,1715605.6312
2,AU02_r_AU17_r,0.566132357019,1441354.05677
